GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME,BTTRA,BTBGA,ALW1E001
"G2000310","2015-2019","KS",,,"Kansas","20","Coffey County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20031","Coffey County, Kansas",,,59583
"G2000330","2015-2019","KS",,,"Kansas","20","Comanche County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20033","Comanche County, Kansas",,,54821
"G2000350","2015-2019","KS",,,"Kansas","20","Cowley County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20035","Cowley County, Kansas",,,50102
"G2000370","2015-2019","KS",,,"Kansas","20","Crawford County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20037","Crawford County, Kansas",,,41004
"G2000390","2015-2019","KS",,,"Kansas","20","Decatur County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20039","Decatur County, Kansas",,,48125
"G2000410","2015-2019","KS",,,"Kansas","20","Dickinson County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20041","Dickinson County, Kansas",,,49991
"G2000430","2015-2019","KS",,,"Kansas","20","Doniphan County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20043","Doniphan County, Kansas",,,49703
"G2000450","2015-2019","KS",,,"Kansas","20","Douglas County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20045","Douglas County, Kansas",,,59435
"G2000470","2015-2019","KS",,,"Kansas","20","Edwards County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20047","Edwards County, Kansas",,,50902
"G2000490","2015-2019","KS",,,"Kansas","20","Elk County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20049","Elk County, Kansas",,,38750
"G2000510","2015-2019","KS",,,"Kansas","20","Ellis County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20051","Ellis County, Kansas",,,52883
"G2000530","2015-2019","KS",,,"Kansas","20","Ellsworth County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20053","Ellsworth County, Kansas",,,54902
"G2000550","2015-2019","KS",,,"Kansas","20","Finney County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20055","Finney County, Kansas",,,60798
"G2000570","2015-2019","KS",,,"Kansas","20","Ford County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20057","Ford County, Kansas",,,51711
"G2000590","2015-2019","KS",,,"Kansas","20","Franklin County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20059","Franklin County, Kansas",,,56582
"G2000610","2015-2019","KS",,,"Kansas","20","Geary County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20061","Geary County, Kansas",,,53133
"G2000630","2015-2019","KS",,,"Kansas","20","Gove County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20063","Gove County, Kansas",,,48317
"G2000650","2015-2019","KS",,,"Kansas","20","Graham County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20065","Graham County, Kansas",,,46375
"G2000670","2015-2019","KS",,,"Kansas","20","Grant County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20067","Grant County, Kansas",,,53413
"G2000690","2015-2019","KS",,,"Kansas","20","Gray County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20069","Gray County, Kansas",,,64930
"G2000710","2015-2019","KS",,,"Kansas","20","Greeley County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20071","Greeley County, Kansas",,,54112
"G2000730","2015-2019","KS",,,"Kansas","20","Greenwood County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20073","Greenwood County, Kansas",,,41982
"G2000750","2015-2019","KS",,,"Kansas","20","Hamilton County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20075","Hamilton County, Kansas",,,46944
"G2000770","2015-2019","KS",,,"Kansas","20","Harper County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20077","Harper County, Kansas",,,49865
"G2000790","2015-2019","KS",,,"Kansas","20","Harvey County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20079","Harvey County, Kansas",,,57982
"G2000810","2015-2019","KS",,,"Kansas","20","Haskell County","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20081","Haskell County, Kansas",,,55064
"G2000830","2015-2019","KS",,,"Kansas","20","Hodgeman County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20083","Hodgeman County, Kansas",,,61211
"G2000850","2015-2019","KS",,,"Kansas","20","Jackson County","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20085","Jackson County, Kansas",,,57914
"G2000870","2015-2019","KS",,,"Kansas","20","Jefferson County","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20087","Jefferson County, Kansas",,,64864
"G2000890","2015-2019","KS",,,"Kansas","20","Jewell County","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20089","Jewell County, Kansas",,,40676
"G2000910","2015-2019","KS",,,"Kansas","20","Johnson County","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20091","Johnson County, Kansas",,,89087
"G2000930","2015-2019","KS",,,"Kansas","20","Kearny County","093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20093","Kearny County, Kansas",,,52599
"G2000950","2015-2019","KS",,,"Kansas","20","Kingman County","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20095","Kingman County, Kansas",,,60469
"G2000970","2015-2019","KS",,,"Kansas","20","Kiowa County","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20097","Kiowa County, Kansas",,,53274
"G2000990","2015-2019","KS",,,"Kansas","20","Labette County","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20099","Labette County, Kansas",,,47643
"G2001010","2015-2019","KS",,,"Kansas","20","Lane County","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20101","Lane County, Kansas",,,52125
"G2001030","2015-2019","KS",,,"Kansas","20","Leavenworth County","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20103","Leavenworth County, Kansas",,,73013
"G2001050","2015-2019","KS",,,"Kansas","20","Lincoln County","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20105","Lincoln County, Kansas",,,45076
"G2001070","2015-2019","KS",,,"Kansas","20","Linn County","107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20107","Linn County, Kansas",,,48778
"G2001090","2015-2019","KS",,,"Kansas","20","Logan County","109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20109","Logan County, Kansas",,,51740
"G2001110","2015-2019","KS",,,"Kansas","20","Lyon County","111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20111","Lyon County, Kansas",,,46338
"G2001130","2015-2019","KS",,,"Kansas","20","McPherson County","113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20113","McPherson County, Kansas",,,59089
"G2001150","2015-2019","KS",,,"Kansas","20","Marion County","115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20115","Marion County, Kansas",,,52123
"G2001170","2015-2019","KS",,,"Kansas","20","Marshall County","117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20117","Marshall County, Kansas",,,51895
"G2001190","2015-2019","KS",,,"Kansas","20","Meade County","119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20119","Meade County, Kansas",,,59316
"G2001210","2015-2019","KS",,,"Kansas","20","Miami County","121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20121","Miami County, Kansas",,,71995
"G2001230","2015-2019","KS",,,"Kansas","20","Mitchell County","123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20123","Mitchell County, Kansas",,,46203
"G2001250","2015-2019","KS",,,"Kansas","20","Montgomery County","125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20125","Montgomery County, Kansas",,,45157
"G2001270","2015-2019","KS",,,"Kansas","20","Morris County","127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20127","Morris County, Kansas",,,55658
"G2001290","2015-2019","KS",,,"Kansas","20","Morton County","129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20129","Morton County, Kansas",,,47750
